ID,Synopsis,Title,MPAARating,Year,ViewerRating
but Kanakaredes makes the best of it, fleshing out her character into a 

sympathetic, realistic individual. Kelsey Grammer is okay as tabloid show 

anchor Robert Hawkins, successfully getting rid of his ""Frasier"" image, but 

is so one-dimensional that he spends his time making little to no impression, 

or going over-the-top. Meanwhile, Charlize Theron (2001's ""Sweet November"") 

makes a splashy cameo as the black-wigged worker of an escort service. 

 

What ultimately makes ""15 Minutes"" such a success is its willingness to try 

novel techniques not seen in many years that throw the viewer off balance, 

making them unsure, and sometimes even a bit nervous, of what is to come 

next. Not only that, but it is one of those rare recent thrillers that 

doesn't go the easy route, nor does it present a nonsensical and exploitative 

storyline for mainstream mass consumption. ""15 Minutes"" actually has 

something to say, and it says it remarkably well. 

",15 Minutes,R,2001,3

4,"

The mere idea of _2_Fast_2_Furious_ doesn't exactly set expectations soaring. 

In fact, it sets off something akin to a universal gag reflex.  ""A sequel to

_The_Fast_and_the_Furious_, of all things?"" object the cin‰aste crowd.  ""A

sequel to _The_Fast_and_the_Furious_ without Vin Diesel?"" scoff that film's

fans--and, as the original's shockingly robust box office take suggests, there

are a lot of those, for whatever reason.  And then there's that little cherry on

the top of the sundae of disdain: _2_Fast_2_Furious_?  *The hell?!* 

 While that punny alphanumeric title still clangs to the ears months after its

unveiling, it's understandable why Universal opted to go with that

once-promotional-only moniker rather than the originally announced

_The_Fast_and_the_Furious_2_.  Despite the returning presence of the first

film's top-billed star (and, for the record, that is Paul Walker, *not* the

Diesel--check the credit line on the poster and DVD) _2_Fast_2_Furious_ feels

less like a true sequel/continuation than a loosely-tied spin-off.  As such, the

film works all the better for both non-fans *and* fans of the first film alike;

the fresh approach keeps the non-fans from making the negative associations with

_The_Fast_and_the_Furious_, and those who hold the first film sacred can look at

the film as being something completely different. 

 And, make no mistake, _2_Fast_2_Furious_ *is* different.  Of course, certain

constants remain: Walker as Brian O'Conner; Thom Barry as the background

character of Agent Bilkins; and, naturally, lots of tricked-out cars going

really, really fast.  But the similarities are only surface-deep; take, for

instance, the opening scene.  It is a street race, and while that description

sounds like anything that appeared in the first flick, it certainly doesn't

unfold like anything from the first film.  Unlike the much-vaunted first race in

the first film, which relied a lot on fancy inside-the-car-and-out-again CGI

trickery to get the adrenaline pumping, what fuels this chase's rush (and that

of all the action sequences in the entire film, for that matter) are the

impressive practical stunts done by actual people driving actual cars--and, of

course, the fact that the cars and their drivers are pretty damn hot doesn't

hurt, either. 

 That last comment may strike as being superficial, but that's what the film

is--and that's *not* meant as a slam.  From the souped-up Universal logo and

that turbo-charged opening, director John Singleton wears the project's shallow,

unsubtle slickness as a badge of honor, making it crystal clear that this is a

film strictly concerned with style, attitude, and having a good time.  Unlike

_The_Fast_and_the_Furious_, which played its cop-in-deep-cover plot all too

melodramatically straight and displayed too much misplaced conviction in

laughably labored and long-winded soliloquies about street racing being the

ultimate spiritual liberator, _2_Fast_2_Furious_ is simply about the ride--no

more, no less; not any buried pretense of actual deep meaning behind the ride. 

And when the ride looks and feels as smooth as this, it's practically irrelevant

to complain about any lack of so-called substance. 

 Not that there isn't a story at work here; there indeed is, but only just enough

to sustain the action.  Those looking for updates on the absentee characters

from the first film should prepare to be disappointed, as any questions they may

have will be met with a stone-faced cinematic silence equivalent to an

ear-splitting cry of ""Vin *WHO?!*""  Actually, his Dominic Toretto character is

referenced--but not by name and only in passing, and that's how it should be, as

it is O'Conner's release of him that put him in his present place: without a

badge in Miami, earning some bucks and kicks on the street race circuit as

""Bullitt.""  The law eventually, inevitably catches up with him, and so he is

given a chance to redeem himself by inflitrating the inner circle of

money-laundering import/export businessman Carter Verone (Cole Hauser) as one of

his street-race-recruited grunt drivers. 

 Joining O'Conner in is assignment is his old friend and ex-con Roman Pearce

(Tyrese, not billed with the Gibson surname this time), who also gets a clean

bill of legal health if the plan succeeds.  While this pairing sets up one of

the more contrived elements of Michael Brandt and Derek Haas's script

(specifically, some half-assed psychological explanation/motivation for

O'Conner's fateful decision at the end of the last movie), it is definitely one

of the more effective new elements in _2_Fast_2_Furious_.   The presence of

Roman loosens up the bland tight-ass that was the original incarnation of

O'Conner; similarly, Walker shows a more relaxed chemistry with Gibson (with

whom he reportedly improvised a lot of their amusing banter) than he had with

his counterpart in the first movie.  That ease extends to Walker's performance

and general demeanor in this film, which is livelier and a little edgier, in

line with the changes in the O'Conner character.  Granted, to state that

Walker's work here compares favorably to his in the first movie isn't saying too

much, and while he does exhibit a bit more personality this time, he still gets

trumped in that department by his lead co-star.  After proving his dramatic

chops in Singleton's _Baby_Boy_, Tyrese brings his pure movie star charisma to

the fore as the fast-talking, perpetually-eating goofball that is Roman.  With

his formidable screen presence and winning sense of humor, he exudes that

indefinable ""It"" from every pore, and with two solid--and vastly

different--turns under his belt in his first two film outings, Tyrese's big

screen career should be an exciting one to follow. 

 Don't go looking too hard for depth in the more background characters, though. 

Hauser, who previously provided villainy for Singleton in 1995's

_Higher_Learning_, has far less to work with in this film, but he fills the role

of psycho heavy effectively for the modest demands of the film; similarly,

Ludacris (billed here as Chris ""Ludacris"" Bridges) perks up his few scenes as

mechanic and race ringleader Tej.  If there's an area that the first film has

over this one, it's in that of the female characters.  The two prominent female

roles here, undercover agent Monica Fuentes (Eva Mendes) and racer Suki (Devon

Aoki), aren't as meaty or memorable as Michelle Rodriguez's badass grrl in the

first; both characters are tough and strong-willed in their own right, but

ultimately the two are called on to not do much more than stand, sit, lounge,

and/or drive around and look good (which, needless to say, Mendes and Aoki do

quite well). 

 But, again, the look and the vibe is what _2_Fast_2_Furious_ is all about--no

more in the film's bread and butter, the race/chase sequences.  From the outset,

it's obvious that Singleton is having a grand ol' time flouting his image as a

""Serious Film""-maker and making a  movie  where he can let loose other, not

typically seen sides of himself.  With its larger-than-life stunts, wild angles,

kinetic ""how did they do *that*?"" camera movements, anime-like speed

enhancements, and rat-tat-tat quick-cut comic book panel frames, the

curtain-raising race sequence plays like a cinematic crash course in Singleton's

fanboy inspirations.  That may seem a bit indulgent (and perhaps it is to a

certain extent), but there's no use in complaining since the bag o' tricks

succeeds in its intent: revving up the audience and laying down tone for the

picture: extreme fun in high style.  That attitude is upheld as the film

progresses and the stunts build in scale and magnitude--and do they ever

(speeding down a highway backward?) .  But the crashes, jumps, and all assorted

manner of jaw-dropping vehicular insanity that ensue would be chaos if not

captured in a coherent, captivating manner, and while he dials down the added

flash after the open, Singleton creates some creative and exciting set pieces,

aided in no small part by the amazing action shots captured by director of

photography Matthew F. Leonetti and the editing by Dallas Puett and longtime

Singleton collaborator Bruce Cannon. 

 Most viewers, I imagine, will likely be too caught up in the ride to really pay

too much attention to all those fast and furious little things that add up to

the larger experience, and that's just as well.  Movies like _2_Fast_2_Furious_

are all about the bigger picture in every sense: the rocket speed of the cars;

the over-the-top stunts; the firepower of the explosions; the glass-shattering

decibel level; the uniformly broad strokes in every aspect of the execution;

and--last and certainly not least--the size of the box office take.  With

_2_Fast_2_Furious_ being just 2 fun 2 deny, success in that last respect should

be as effortless as the film's thrills and irresistible style. 

",2 Fast 2 Furious,PG-13,2003,2.5

5,"

 This MTV-production revolves around frantic, fateful New Year's

Eve party in 1981 in a downtown loft in the funky East Village, where

the lives of various young couples and friends intersect. Anyone who

has ever spent a dismal New Year's Eve with strangers - virtual or

otherwise - can relate to their depressing and desperate angst. Risa

Bramon Garcia, a highly respected casting director, makes her

directorial debut so, predictably, despite the modest $6.5 million

budget, there's a star-studded cast, like Christina Ricci and Gaby

Hoffman as wannabe groupies from suburban Ronkonkoma, Long Island,

lighting up with Paul Rudd and Courtney Love, two platonic friends who

agree, if all else fails, to have sex with each other. Jay Mohr, Casey

Affleck, and Brian McCardie cruise the crowd as Ben Affleck plays

bartender. Goldie Hawn's daughter, giggly Kate Hudson, makes her

feature film debut as an awkward Upper West Side princess, prone to

pratfalls, but, nevertheless, holding her own with Martha Plimpton, as

the sad-sack hostess, Dave Chappelle as a slick disco taxi-driver, and

Janeane Garofalo in a cameo. Ms. Garcia describes the filming as ""a

revolving door of actors, coming in and doing their bit and leaving"" -

and it looks it. Despite the fact that an appropriate early '80s song

underlines each scene, there's not much to Shana Larsen's unstructured

script and dreadful dialogue, particularly when you realize that AIDS

will bring this kind of promiscuity to an end very soon. So, as a

result, all these actors have very little substance to puff on. Or, as

Paul Rudd concludes, ""We use cigarettes as a shield against relating

to each other."" On the Granger Movie Gauge of 1 to 10, ""200

Cigarettes"" is a vapid, clumsy 3, making you long for the morning

after to come quickly. 

",200 Cigarettes,R,1999,2

6,"

 ""2001"" is probably the most original film ever made.

It is so different from conventional films that,

in fact, it may be a different art form altogether.

Even the very best films, such as ""Casablanca"",

""Rebecca"" and ""Chinatown"" have formulaic elements.

In contrast, ""2001"" is in its own world, as if

all the movies made before had never existed.

While director Stanley Kubrick has made even better

films (""Dr. Strangelove"" and ""Barry Lyndon"", and

perhaps others I haven't yet seen), ""2001"" will

always be the most impressive, just for its

originality and audacity. 

 The film has four parts.  The first section is the

dawn of man.  Man-apes are taught to use tools and

kill by an imposing black monolith.  In the second

part, a second black monolith is found buried in

the moon by astronauts in the year 2001.  This leads

to a mission to Jupiter by another team of astronauts

and a talkative, emotional computer named Hal.

The final and most surreal part has astronaut Dave

traveling to the infinite and beyond. 

 ""2001"" opened to mixed reviews.  Many critics were

(and perhaps still are) put off by the lack of

dialogue and character development, the slow pace,

and surreal imagery. ""2001"" is a story told by

cinematography, with much of the meaning left to

the imagination of the viewer. 

 The film's significance was not lost on the Oscar

committee, however, which awarded ""2001"" Best

Special Effects and Best Art Direction.  Kubrick

was nominated for Best Director, and the film

was nominated for Best Writing.  It is odd that

the sparse script was nominated instead of

cinematography. 

 The most developed character in the film is Hal,

a computer that is more emotional than the

robotlike humans that accompany him on the

mission.  The confrontation between Hal (voiced

by Douglas Rain) and Dave (Keir Dullea) is the

most interesting part of the film, more so

than the increasingly bizarre and unfathomable

finale. 

 Trivia: ""2001"" took three years to film.  Supposedly

there was 200 times more film shot than was used in

the final version.  The little girl in the telephone

video is Kubrick's daughter Vivienne. 

",2001: a Space Odyssey,G,1968,4

7,"

""What am I doing in this pre-corpse club?"" Paul (Sean Penn) thinks to

himself in voice-over.  As he looks around his hospital room, his fellow

patients are all tubed up, wired up and looking over their shoulders for the

Grim Reaper's arrival.  

 

Paul, a 41-year-old mathematics professor, and Mary (Charlotte Gainsbourg),

who share a marriage on the rocks, are one of three sets of characters whose

lives come together tragically in 21 GRAMS, director Alejandro Gonzælez

I_ærritu and writer Guillermo Arriaga's follow-up feature film to their

widely acclaimed -- but not by me -- AMORES PERROS.  As he did in AMORES

PERROS, the director again rewinds and fast forwards the story every few

minutes so that you'll swear that the editor used a Mixmaster to assemble

the footage.  The director also eschews any use of a stabilizing device for

his camcorder, giving his movie the ugly look of slightly shaky videotape.

In the press notes, he argues why he thinks this is a good idea.

Personally, I think most audiences prefer the steady and lush look of a

non-handle-held camera using traditional film stock over something

approximating your neighbor's home videos.  But I digress.

 

Despite the picture's annoying and showy avant-garde techniques, the

wonderful acting manages to shine through and grab you.  Penn, who acts

circles around Gainsbourg's typically lethargic work, has his acting match

in Naomi Watts (MULHOLLAND DR.) and Benicio Del Toro (TRAFFIC), who head up

the other two sets of characters.

 

Watts plays Christina, who years ago gave up her coke-snorting drug scene

for a life as a well-off suburban housewife and mother.  After her husband

and young girls die in an accident, she returns to her old bad habits.

Rapidly sinking into a deep depression, she tells her father at her family's

funeral, ""Life does not just go on!""

 

As a two-bit chronic criminal named Jack, Del Toro is a guy who wears his

religion on his arm and his truck.  Jack's tattoos proudly proclaim ""Jesus

Saves,"" as does the side of his big pickup.  Most of the movie's characters

are alcohol abusers.  Jack is that as well as a Christianity abuser.  Using

as justification whatever phrase that comes to mind from the Bible, he

mistreats his kids and himself.

 

The superlative acting more than makes up for the film's flaws, which

include needless confusion and actions that frequently strain credulity.

Jack, Christina and Paul pull at our heartstrings, and we are most

definitely moved.  Still, I'd love to see an anti-director's cut that didn't

try to be so artsy and that stuck to the storytelling.

 

21 GRAMS runs a little long at 2:05.  It is rated R for ""language,

sexuality, some violence and drug use"" and would be acceptable for most

teenagers.

",21 Grams,R,2003,3

8,"

We throw around aphorisms like ""Seize the Day"" and ""Live

every day as if it's your last"" without emotionally grasping the

significance of this shrewd advice.  In ""25th Hour,"" Spike Lee,

using a script by David Benioff from Benioff's novel, explores the

concept through the eyes of a man who is not literally living out

his final day on the planet, but who in some ways shares a

terminally ill person's angst.  New York resident Monty Brogan

(Edward Norton) is due to check into an upstate prison in twenty-

four hours to serve a seven-year term for possession of drugs with

intent to sell.  Looking at himself realistically as a skinny, good-

looking white guy, he knows what's in store for him in the brig

every time the lights in the penitentiary go out.  

 

This is the sort of drama that a run-of-the-mill Hollywood director

with a big budget would treat as a melodrama, crammed with

adrenalin-pumping music, explosions, and shoot-outs with the

police who would be hot on the trail of a runaway felon.  Though

we have no idea why the authorities would allow such a fellow

post-sentencing to be on the loose and consider escape, Spike

Lee is far more interested in examining character, particularly the

relationships that Monty has developed and is now sadly giving

up, affording him good reason to feel that he has thrown his youth

away.  In short this is not a prison drama as such but rather an

attractive young person's belated coming to terms with himself,

sadly considering ""if only,"" and wondering whether he has any real

options short of serving his time.

 

The opening of a story finds Monty walking around near a New

York pier with his Ukranian-born friend Kostya (Tony Siragusa),

razzing the large man for his apparent mental thickness.  Monty

demonstrates early on that despite his drug dealing which dates

back to his selling weed to high-school students, he's a decent

guy who takes in a pit bull mix that had been thrown from a

window and left for dead. In this initial scene Spike Lee points up

that Monty could have led a good, moral life but challenges us in

the audience to know when a scene is a flashback and when it is

taking place during the single, last day of freedom in the man's

life.

 

Meeting with his dad, James Brogan(Brian Cox), Monty must

fend off suggestions that he escape to a small town out West and

in a smashing surreal scene we watch how this option would play

out as Monty grows old with his wife Naturelle (Rosario Dawson)

and enjoys the company of a bunch of kids to whom he reveals

his big secret only when they have grown up.  Monty enjoys his

loving girlfriend Naturelle Riviera (Dawson), whom he had met in a

playground when the woman was just eighteen; and the supportive

company of his good friends, prep school English teacher Jacob

Elinsky (Philip Seymour Hoffman) and hotshot investment banker

Francis Xavier Slaughtery (Barry Pepper). 

 

Lee's repeated flashbacks, which continue to blend in with

Monty's final day of freedom, explore the varied lives of Monty's

circle, and it is here that scripter David Benioff's sharp dialog

effectively mixes humor with pathos.  The nerdy Jacob has not

come to terms with what he considers a wasted life, his job as a

high-school teacher failing to fulfill him while he harbors a passion

for a 17-year-old student, Mary D'Annuzio (Anna Paquin) that

Humbert Humbert would understand only too well.  By contrast

Francis is energized by a high-pressure job that allows him to

spend up to $100 million for his clients in his investment house. 

While he has his eye out for the women, he can appreciate the

temptations of a young body, feelings that obsess his friend

Jacob.

 

""25th Hour"" does have some suspense. We wonder whether

Monty will take advantage of his dad's advice to flee the city by

driving west and taking on a new identity, but we probably know

that Monty has come to terms with his past and looks to redeem

his life by taking the punishment meted out by the draconian

Rockefeller laws.  Not the stuttering schizoid he played in Gregory

Hoblit's ""Primal Fear,"" not the tough hombre of ""American History

X"" or the adorable romantic in Woody Allen's ""Everybody Says I

Love You,"" a vulnerable but strong Edward Norton anchors the

compelling story while Spike Lee adds cinematic variety through

surreal imagery and seamless retreats to the past and future.

 

David Thomson writes in his ""The New Biographical Dictionary

of Film"" that Spike Lee is ""is capable of a great film about New

York.""  One can only say to that major film critic, ""Here you go.""

",25th Hour,R,2003,3.5

9,"

The girl-next-door has grown up. Sandra Bullock takes a brave

dramatic leap as a drunk stumbling on her way to sobriety in this

contemporary cautionary tale. Written by Susannah Grant (""Erin

Brockovich""), the story begins with Sandra reeling around Mahattan in

a boozy haze. She's a drinking, drugging party girl and the debauchery

never stops, even at the wedding of her sister (Elizabeth Perkins).

But when she swipes a limo and crashes it into the front porch of a

house, she gets a DUI and 28 days in court-ordered rehab. And that's a

real awakening. Defensive and heavily into denial, she first has to be

convinced that she is, indeed, an addict. Then she has to want to live

a different life, even if that means ditching her good-time boy-friend

(Dominic West) who'd like to marry her. But the core of the story

takes place in the rehab community, where she meets a motley

assortment of characters including her counselor (Steve Buscemi),

heroin-addicted roommate (Azura Skye), an irresistible gay German

(Alan Tudyk) - who has the best dialogue in the picture - and a

testosterone-laden baseball player (Viggo Mortensen). Yet the vision

of director Betty Thomas seems unfocused, skipping from slapstick

comedy to fuzzy memory flashbacks, from a silly riff on soap operas to

a romance that never develops, all within the serious substance-abuse

concept. Think of capturing the gallows humor of ""Girl, Interrupted.""

On the Granger Movie Gauge of 1 to 10, ""28 Days"" is a scrambled 7. But

Sandra Bullock shines. She's a revelation, delivering a compelling,

surprisingly convincing performance after her recent falters in ""Hope

Floats"" and ""Forces of Nature."" Even when she's bruised and battered,

she's beautiful, bringing a haunting sadness to her portrayal. 

",28 Days,PG-13,2000,2

10,"

Demian Lichtenstein's 3000 MILES TO GRACELAND isn't the movie that you've

seen in the trailers, which is a shame.  That movie looked like a lot of

fun.  Spoofing a bunch of Elvis impersonators out to make a killing

(literally) with a high tech casino robbery in Vegas during Elvis week, it

is energetic and original.  We know this because the first 20 minutes or so

follow this outline.  But after that, in a hail of thousands and thousands

of bullets, the picture turns into another gorefest that would be an NC-17

candidate if the MPAA hadn't long ago fallen asleep at the wheel.  (Even

HANNIBAL is rated R.  Right!)

 

Our Elvis look-alike crooks include Murphy (Kevin Costner), Michael (Kurt

Russell), Hanson (Christian Slater) and Gus (David Arquette).  After a

promising beginning, the guys shed their costumes and the movie turns into a

bad spaghetti Western -- one too cheesy for Clint to have anything to do

with.

 

Joining Michael for the ride is Courteney Cox, as ""Cybil with a 'C',"" and

her thieving 10-year-old son, Jesse (David Kaye), as in Jesse James.  Get

it?  Well enjoy it, since that's about as funny as 3000 MILES TO GRACELAND

ever gets.  

 

The busy script by Richard Recco and Demian Lichtenstein has more holes than

the proverbial Swiss cheese.  The script attempts to fill all of the holes

with lots of shoot-'em-ups.  And, when he can't think of anything else to

do, which is often, the director points the camera at the clouds, which the

editor speeds up.  Cars, especially Michael's fire-engine red, 1959 Coupe De

Ville, are shown flying down the highway with the hyperdrive engaged.  Don't

knock it.  It keeps you awake.  Barely.

 

Among the Hollywood actors to drop by for parts is Jon Lovitz -- you know,

the guy who invented the Yellow Pages.  ""It's a joke,"" his character tells

Murphy after one of his failed attempts at humor.  You'll need to be

reminded of that often in this comedy, which is as flat as the Nevada desert

where it is set.  Take my advice and don't stay to watch the music video

during the closing credits.  It will make you sad for it shows what the

disappointing 3000 MILES TO GRACELAND could have been -- irreverently funny

rather than mean-spiritedly tedious.  

 

3000 MILES TO GRACELAND runs 2:00.  It is rated R for strong violence,

sexuality and language and would be acceptable for high school seniors and

older.

",3000 Miles to Graceland,R,2001,1

11,"

If you were a young man in the Peace Corps assigned to

Afghanistan under the Taliban, what would you miss most? 

